filename,timestamp_sec,vehicle_type,plate,condition,notes
dataset_clear_01.mp4,3,BIKE,AFA 6610,CLEAR
dataset_clear_01.mp4,11,BIKE,LEM2025,CLEAR
dataset_clear_01.mp4,14,BIKE,LEQ3288,clear
dataset_clear_01.mp4,20,CAR,AWJ431,CLEAR
dataset_clear_01.mp4,25,CAR,LEC3799,CLEAR
dataset_clear_01.mp4,30,BIKE,AYJ2527,CLEAR
dataset_clear_01.mp4,35,BIKE,LEN9009,CLEAR
dataset_clear_01.mp4,43,CAR,AUT094,CLEAR
dataset_clear_01.mp4,46,CAR,LEE369,CLEAR
dataset_clear_01.mp4,47,CAR,AZE335,CLEAR
dataset_clear_01.mp4,48,CAR,AXP625,CLEAR, going in
dataset_clear_01.mp4,60,CAR,AXP625,CLEAR,coming out
dataset_clear_01.mp4,66,CAR,LEE8980,CLEAR
dataset_clear_01.mp4,84,CAR,ASJ765,CLEAR
dataset_clear_01.mp4,91,CAR,BEW278,CLEAR
dataset_clear_01.mp4,101,CAR,LEH1896,CLEAR
dataset_clear_01.mp4,106,CAR,AED186,CLEAR
dataset_clear_01.mp4,120,CAR,LEE2271,CLEAR
dataset_clear_01.mp4,132,BIKE,BHX5441,CLEAR
dataset_clear_01.mp4,137,BIKE,BAG9976,CLEAR
dataset_clear_01.mp4,139,BIKE,LEN910,CLEAR
dataset_clear_01.mp4,147,BIKE,LRK4645,CLEAR
dataset_clear_01.mp4,151,BIKE,BHC4461,CLEAR
dataset_clear_01.mp4,156,CAR,LED277,CLEAR
dataset_clear_01.mp4,174,CAR,BPG516,CLEAR
dataset_clear_01.mp4,180,CAR,AAR356,CLEAR

dataset_multiple_vehicles_01.mp4,6,car,AZF 441,day Multiple vehicles
dataset_multiple_vehicles_01.mp4,6,bike,LEM 5133,day Multiple vehicles
dataset_multiple_vehicles_02.mp4,6,bike,APM 7367,day  Multiple vehicles
dataset_multiple_vehicles_02.mp4,6,bike,LEX 127,day  Multiple vehicles
dataset_multiple_vehicles_02.mp4,9,car,BKV 306,day  Multiple vehicles
dataset_multiple_vehicles_02.mp4,9,bike,LER 7662,day  Multiple vehicles
dataset_multiple_vehicles_02.mp4,6,car,ABA 196,day  Multiple vehicles
